koi,kepid,prot,prot_ref,prot_numflag,a18_prot,m13_prot,m15_prot,w13_prot
2522,9177629.0,38.53,a18,3.0,38.53,38.04,37.9,37.4
2529,8463346.0,16.0,m15,3.0,,16.0,16.0,15.62
2530,9011825.0,,,1.0,20.31,,21.72,
2533,,,,0.0,,,,
2534,1996180.0,,,1.0,11.39,,74.82,
2538,1849702.0,,,1.0,21.28,,69.69,
2541,12306058.0,,,1.0,21.12,,,
2545,9696358.0,17.02,a18,3.0,17.02,16.71,17.12,
2547,4484336.0,,,1.0,31.62,,82.53,
2555,5350244.0,9.0,a18,3.0,9.0,8.8,8.8,10.13
2556,5374403.0,,,1.0,13.17,,31.93,
2559,6605493.0,,,1.0,21.78,,80.99,
2561,7259298.0,,,1.0,21.97,,85.02,
2563,5175024.0,12.39,a18,2.0,12.39,,12.13,
2564,9026749.0,,,1.0,10.7,,30.13,
2571,6867588.0,30.99,a18,2.0,30.99,33.67,33.67,28.25
2581,11818872.0,28.86,a18,3.0,28.86,29.91,29.95,14.99
2582,11771430.0,,,1.0,14.98,,19.57,
2583,10387742.0,,,1.0,27.09,,67.92,
2585,7673841.0,,,1.0,25.73,,93.02,
2590,12016267.0,10.87,a18,3.0,10.87,,10.84,
2593,8212002.0,8.76,a18,3.0,8.76,8.67,8.62,8.96
2595,8883329.0,,,1.0,19.06,,,
2597,12120307.0,,,1.0,21.13,,47.61,
2603,2443393.0,,,1.0,7.21,,74.36,
2607,5095635.0,16.02,a18,3.0,16.02,15.94,15.95,
2608,6269070.0,,,1.0,7.18,20.3,20.18,
2612,9602613.0,,,1.0,24.5,,37.12,
